Id,Tweet,State,Sentiment_Analysis_1,Polarity
#election,bjp win battl past month bengal pm modi arriv win biggest battl announc warcri upcom war tmc elect modisonarbangla,Kolkata,-0.4767,0
#congress,inclusivemind ark bjpindia rahul gandhi bjp think cellchatumediacroniesscrit writer andbhakt crore speach give victori then late atal bihari vajpeyi much better shine india,Aligarh,-0.5423,0
#election,senior congress leader manishtewari jpc definit next parliament parallel crimin investig process go go away rafal rafalenot,New Delhi,0,0
#congress,bc congress take kickback fr pp,,-0.128,0.145
#bjp,rahulliecaught exclus former defenc secretari g mohan kumar tear rahul gandhi lie say no pmo interfer rafal price,Mumbai,0,0
#congress,expect meltdown congress elect wait till februari end bahut saar possibl hain ji,,0.3612,0.2
#threat,stori realli expos develop propaganda nation congress cudnt yrs modi sirji ask month abl hear terrifi stori jharkhand govt cudnt even solv basic issu last yrs,,0.7003,0.311
#election,issu problem parrikar say defenc secretari resolv problemmatt princip secretari pm actual nail modi anyth els,New Delhi,0.2023,0.091
#congress,forthefirsttim activ diplomaci pm modi india emerg leader intern platform first indian prime minist visit israel strengthen tie ageold natur alli year,Gandhinagar,-0.8934,0
#modi,modiunstopp speech made noisi kharg amp compani nervous confid speak way come easili one sincer amp honest job paplu taplu remain absent perhap nirmala ji arunji piyush ji s trailer prefer avoid modi ji s punch,Pune,-0.8834,0
#modi,piti state affair swachh bharat mission modi s kashi could understood fact even minist neelkanth tiwari also admit work mark flopswachhbharat,,0.5859,0.352
#congress,jim jordan remain best argument drug test member congress whitakerhear,,0,0
#congress,rahul rahul gandhi ji use claim defenc minist manoharparrikar ji complet ignor rafaled note rafal file anoth lie expos rahulliecaught,New Delhi,0,0
#bjp,modi govt make kitchen smoke free pmuy approx crore lpg connect provid poor india becom second largest lpg consum lpg coverag cleaner fuel ensur cleaner environ too transformingindia,Una,0,0
#modi,bjp mp sh ianuragthakur launch campaign abkibaarpaar,New Delhi,0,0
#modi,prime minist shri modi today expos congress parti s fals fake campaign sever issu deliv outstand speech floor lok sabha congratul prime minist complet demolish opposit s claim,,-0.4215,0.117
#bjp,rafalescam saugataroymp loksabha today modishah duo destroy defenc backbon countri,Kolkata,-0.7184,0.034
#threat,shock un said isi biggest terrorist threat world time thought rss indian media lie us,Uttar Pradesh,-0.1531,0.091
#election,nramind amp thehindu hitjob rafal use fakenew creat fake scam without fact discredit pm modi destabil nation amp stop defens procur time boycott mediapimpistaan lutyen boycottthehindu banthehindu,Gujarat,0.3182,0.213
#bjp,bjp up game right time anoth brilliant retort,,-0.128,0.172
#politics,govt lie sc that s entir rafal judgment question now rahul rahul gandhi,Delhi,-0.1027,0.115
#congress,defenc minist nirmala sitharaman came heavili opposit particular aim congress parti rafal deal alleg rafalecongselfgo,,0,0
#modi,ippatel modi essenti,,0,0
 #congress,need latina congress pressin,,-0.296,0
#modi,rafaled read paragraph parrikar admit pmo interf refrain blame modi derail negoti,,-0.7351,0
#politics,complaint shashitharoor delhi court order fir republ tv amp editorinchief arnab goswami congress mp alleg illeg access document relat sunandapushkar death case tharoor face abet suicid charg matter,Uttar Pradesh,-0.765,0
#election,kerala rss inspir sewa bharathi build hundr hous kerala poor hindus thalachaikkanoridam place rest one head like hous kannur pathanamthitta palakkad various stage construct,Tamil Nadu,-0.4019,0.097
#election,congress doesn t want indian air forc strengthen put serious charg pm modi lok sabha modiparliamentspeech,,0.1321,0.118
#rahul,rahul gandhi dear rahul gandhi hell amp congress would like tell us corrupt congress give arm forc one rank one pension year power,,0.5267,0.185
#rahul,hindu clear crop import note para appear overreact rahul rahul gandhi base entir propaganda sovereign guarante note crop one,Gujarat,0.7783,0.315
#modi,reveal mamata halt bjps rath yatra bengal operationrathyatra rahulkanw,,0.5719,0.381
#modi,srivatsayb shashitharoor ravishndtv sardesairajdeep indiatoday aajta wil u run news cri modi modi,,0,0
#politics,sc govt submit detail rafaled decis make process govt affidavit sc no interfer govt rafal deal int mandat dac negoti deal defenceministri letter prove pmo run parallel negoti result sovereignguarante,,-0.5994,0.079
#rahul,rahul attack govt rafal base halftruth amp select media report not don t rahul s serial attack modi rafal withstand test scrutini rshivshankar rafalecongselfgo,,0,0
#modi,pm modi thief stolen countri s rs crore rahul gandhi pakdagayamodi,Jharkhand,0.2732,0.208
#election,kirronkherbjp fgautier thehindu rahul gandhi modi bhakt dumb import dm repli tri away shoo away charg level mod modi state overreact mod clarifi matter pmo modi monitoringnot negoti,,-0.946,0.124
#bjp,vote definit bjp convinc other aapian amp congii particular vote bjp well,,0,0.31
#bjp,old photograph use project show strength pm modi west bengal ralli via altnew,,0,0
#modi,modi today confid man sure he is win one care he is lose,,-0.5859,0.262
#modi,person peon priyanka ppop,Haryana,0,0
#congress,hikerdogduo adamschiff investig tax payer fund hush fund use congress silenc dirti deedswher cri,Rajasthan,-0.4019,0
#rahul,parti call armi chief sadak ka gunda sociopath call kargil bjps war famili refus celebr vijay diwa mani mani year liargtgt rahul gandhi,Delhi,0.5423,0
#bjp,gop congress peopl freak whitakerhear one word you benghazi motherfuck,,0,0
#congress,when there is wide spectrum debat issu public play role public need call member congress say this someth care about aoc via cnn public support greennewd,,0,0
#congress,exclus congress rafal attack bring modi power again say defenc minist nsitharaman,Karnataka,0,0.081
#bjp,last chanc let us know would like see world fisheri congress email idea suggest jan wfc worldfishcent,Maharashtra,-0.3612,0.18
#modi,jorellana jeffdeist reelectnydia thecjpearson aoc peopl would never make privat sector reason stay congress forev plus pensionsbenefit get upon retir basic noth offic,,0,0
#jaihind,biggest concern vis vis rafaled dent imag modi ji beyond repair brought credibl pmoindia zero level jai hind,,0.765,0
#politics,let legaci exampl us all patriot serv countri came congress simpl mission help other never waver commit send thought famili repdebdingel,Maharashtra,0.4588,0
#modi,pakdagayamodi chowkidar like bachao bachao simpl aircraft math bhaktoo compar mms vs modi number rafal mms modi price per rafal mms cr modi cr math let know comment chor,,-0.25,0
#tax,billionair gop donor demand republican puppet congress hand massiv tax cut gop lawmak deliv,Karnataka,0,0
#bjp,rep aoc call congress cut fund ice border patrol end abus treatment immigr,Gujarat,0,0.233
#congress,tell congress cosponsor save pollin act savethebe monarchbutterfli savethepollin,,-0.6808,0.136
#modi,ncepl block nh dwarka expressway connect what is signific dwarka expressway cannot connect nh blackday new gurgaon bjp cmohri modi mlkhattar pmoindia nitingadkariin timesofindia ndtv redfm radioc,Madhya Pradesh,0.4588,0
#politics,snippet cp rahul gandhi press confer rafal scam today pakdagayamodi rahul gandhi priyankac withpgv zohebsh,Uttar Pradesh,0.5423,0
#rahul,rahul rahul gandhi use malici edit dissent note publish hindu spread half lie rafal,Maharashtra,-0.8934,0
#congress,delight privileg meet congress gen sec priyanka rahul gandhi vadra ji aicc team mahilacongress thank sushmitadevmp ji,,0.765,0
#election,namo group share video wa muglikar amitmalviya,,0,0.188
#politics,massiv failur sbi merger nda govt clamour yet anoth bob vijayadena bank blind realiti sorri state affair bank merger antipeopl retrograd reform govt wake up pmoindia soumyadatta stopmerg savepublicsectorbank,Gujarat,0,0.268
#modi,sell out modi treat us like third shoe rafalescam pakdagayamodi,Karnataka,-0.1027,0.052
#modi,pm s speech fine comparison year congress rule n month modi sarkar,Delhi,-0.5106,0.286
#bjp,whenev hous rep congression committe refer fellow member congress the left know he is good rep good servant republ repandybiggsaz whitakerhear,,0.3818,0
#hindu,hindu notori newspap publish half bake news day modi speech parliament look strateg time public articlethi show newspap sold soul dynasti linah baliga s post,,0,0
#politics,go chang world take everi singl one us stand togeth demand congress take climat chao peopl power it s time greennewd,Uttar Pradesh,0,0.19
#election,modi interest pamper croni corpor modi alway neglect poor worker cheat fake promis workersagainstmodi,,0,0
#politics,modi support get work pikettylemond piketti pleas look within govern believ soak rich punit taxat redistribut,,-0.2023,0.106
#bjp,modifiedvika modi,Gujarat,0.3818,0
