Id,Tweet,State,Sentiment_Analysis_1,Polarity
2,hindu clear crop import note para appear overreact rahul rahul gandhi base entir propaganda sovereign guarante note crop one,Gujarat,0.7783,0.315
13,reveal mamata halt bjps rath yatra bengal operationrathyatra rahulkanw,,0.5719,0.381
1,srivatsayb shashitharoor ravishndtv sardesairajdeep indiatoday aajta wil u run news cri modi modi,,0,0
5,sc govt submit detail rafaled decis make process govt affidavit sc no interfer govt rafal deal int mandat dac negoti deal defenceministri letter prove pmo run parallel negoti result sovereignguarante,,-0.5994,0.079
1,rahul attack govt rafal base halftruth amp select media report not don t rahul s serial attack modi rafal withstand test scrutini rshivshankar rafalecongselfgo,,0,0
1,pm modi thief stolen countri s rs crore rahul gandhi pakdagayamodi,Jharkhand,0.2732,0.208
1,kirronkherbjp fgautier thehindu rahul gandhi modi bhakt dumb import dm repli tri away shoo away charg level mod modi state overreact mod clarifi matter pmo modi monitoringnot negoti,,-0.946,0.124
7,vote definit bjp convinc other aapian amp congii particular vote bjp well,,0,0.31
8,old photograph use project show strength pm modi west bengal ralli via altnew,,0,0
3,modi today confid man sure he is win one care he is lose,,-0.5859,0.262
4,person peon priyanka ppop,Haryana,0,0
2,hikerdogduo adamschiff investig tax payer fund hush fund use congress silenc dirti deedswher cri,Rajasthan,-0.4019,0
13,parti call armi chief sadak ka gunda sociopath call kargil bjps war famili refus celebr vijay diwa mani mani year liargtgt rahul gandhi,Delhi,0.5423,0
6,gop congress peopl freak whitakerhear one word you benghazi motherfuck,,0,0
3,when there is wide spectrum debat issu public play role public need call member congress say this someth care about aoc via cnn public support greennewd,,0,0
1,exclus congress rafal attack bring modi power again say defenc minist nsitharaman,Karnataka,0,0.081
2,last chanc let us know would like see world fisheri congress email idea suggest jan wfc worldfishcent,Maharashtra,-0.3612,0.18
4,jorellana jeffdeist reelectnydia thecjpearson aoc peopl would never make privat sector reason stay congress forev plus pensionsbenefit get upon retir basic noth offic,,0,0
1,biggest concern vis vis rafaled dent imag modi ji beyond repair brought credibl pmoindia zero level jai hind,,0.765,0
13,let legaci exampl us all patriot serv countri came congress simpl mission help other never waver commit send thought famili repdebdingel,Maharashtra,0.4588,0
1,pakdagayamodi chowkidar like bachao bachao simpl aircraft math bhaktoo compar mms vs modi number rafal mms modi price per rafal mms cr modi cr math let know comment chor,,-0.25,0
4,billionair gop donor demand republican puppet congress hand massiv tax cut gop lawmak deliv,Karnataka,0,0
1,rep aoc call congress cut fund ice border patrol end abus treatment immigr,Gujarat,0,0.233
3,tell congress cosponsor save pollin act savethebe monarchbutterfli savethepollin,,-0.6808,0.136
9,ncepl block nh dwarka expressway connect what is signific dwarka expressway cannot connect nh blackday new gurgaon bjp cmohri modi mlkhattar pmoindia nitingadkariin timesofindia ndtv redfm radioc,Madhya Pradesh,0.4588,0
14,snippet cp rahul gandhi press confer rafal scam today pakdagayamodi rahul gandhi priyankac withpgv zohebsh,Uttar Pradesh,0.5423,0
15,rahul rahul gandhi use malici edit dissent note publish hindu spread half lie rafal,Maharashtra,-0.8934,0
1,delight privileg meet congress gen sec priyanka rahul gandhi vadra ji aicc team mahilacongress thank sushmitadevmp ji,,0.765,0
6,namo group share video wa muglikar amitmalviya,,0,0.188
2,massiv failur sbi merger nda govt clamour yet anoth bob vijayadena bank blind realiti sorri state affair bank merger antipeopl retrograd reform govt wake up pmoindia soumyadatta stopmerg savepublicsectorbank,Gujarat,0,0.268
7,sell out modi treat us like third shoe rafalescam pakdagayamodi,Karnataka,-0.1027,0.052
8,pm s speech fine comparison year congress rule n month modi sarkar,Delhi,-0.5106,0.286
1,whenev hous rep congression committe refer fellow member congress the left know he is good rep good servant republ repandybiggsaz whitakerhear,,0.3818,0
1,hindu notori newspap publish half bake news day modi speech parliament look strateg time public articlethi show newspap sold soul dynasti linah baliga s post,,0,0
4,go chang world take everi singl one us stand togeth demand congress take climat chao peopl power it s time greennewd,Uttar Pradesh,0,0.19
2,modi interest pamper croni corpor modi alway neglect poor worker cheat fake promis workersagainstmodi,,0,0
5,modi support get work pikettylemond piketti pleas look within govern believ soak rich punit taxat redistribut,,-0.2023,0.106
8,modifiedvika modi,Gujarat,0.3818,0
