Id,Tweet,State,Sentiment_Analysis_1,Polarity,Parties,Predicted_Label
#BJP,strong protest at bjp councillor shobha gupta wo mla vrijendra gupta house against mcd pension scam,Delhi,-0.34,0.4333,BJP,authentic
#CongMukhtBharat,what has modi done to cong rahul amp sonia cant even tolerate a cartoon on congmukhtbharat worldwinnermodireturns,Assam,0,0,BJP,authentic
#dynastic,death of dynastic rule heres why the congress is unravelling rapidly,Maharashtra,-0.5994,0,Congress,authentic
,filed court case against rana ayyub today for defaming rss and claiming sanghis killed gandhi jai hind,Delhi,-0.6705,-0.2,Other,authentic
#SurgicalStrike,i will show nawaz how to respond to modi says imran khan on surgicalstrike,Tamil Nadu,0,0,BJP,authentic
#AAP,watch video what a old man think abt amp gang aap is not aam admi party its apradhi aantaki party,Bihar,-0.5448,0.1,BJP,authentic
#Demonitization,demonitization twistbeloved comi do u feel political party funds should be audited amp taxable,Uttar Pradesh,0.4019,0,BJP,manipulated
#BhaagRahulBhaag,whole punjab knows that majithia sells drugs but rahul rahul gandhi amp captain do not take his nambhaagrahulbhaag,Delhi,0,0.2,Congress,authentic
#bhaagRahulBhaag,bhaagrahulbhaag is only for helping aap in punjabpolls and sp in up,Uttar Pradesh,0.296,0,Congress,authentic
#BJP,bjp range as per arithmetic and stastical analysis but if silent bjp voter factor true then no upper limit,Karnataka,0.2263,0.1167,BJP,authentic
#BroadbandPrivacy,congress wants to let companies like comcast sell ur private info to the highest bidder broadbandprivacy,Tamil Nadu,0.3612,0.1,Congress,authentic
#BJP,uppcl samvida karmchari future in darkbut now bjp govt in upbut samvida karmchari is helplessjago govt jago,Uttar Pradesh,0,0,BJP,manipulated
#BJPà¤¹à¥€AAPà¤¹à¥ˆ,arvind kejriwal at rss swadeshi jagran manch do not be fooled they are the same bjpaap,Delhi,0.2924,0,BJP,manipulated
#BJP,dinhata tmc mla udayan guha is identifying bjp supporters house and looting them at the moment it is happening in his presence,West Bengal,0.4404,0,BJP,authentic
#Congress,join yash as he walks for a greener bengaluru on sunday the st may at rahul gandhi statue m g road on account of vanamahotsava,Andhra Pradesh,0.296,0,Congress,authentic
#BJP,a serious thought is bjp planning a war like situation with pakistan just before next parliamentary election to win absolute majority,Delhi,0.2732,0.1667,BJP,authentic
#BoycottChineseProducts,delhi bjp chief has appealed to traders to stop selling chinese items boycottchineseproducts,Bihar,-0.296,0,BJP,authentic
,pakistan is laboratory of terrorism,Madhya Pradesh,-0.6808,0,Other,authentic
,part of historical blunders by rajiv gandhi bofors scandal featuring happybirthdayrajiv,Chandigarh,-0.4404,0,Congress,authentic
#HappyBirthdayPM,happybirthdaypm ji i pray for your wellness and good health namo,Delhi,0.7964,0.7,Other,authentic
#BJP,happy birthday to our beloved prime minister narendra modi prayings god and bless for your every success satam jivem saradsunil kr mishra,Jharkhand,0.9393,0.6,BJP,authentic
#Congress,extremely sad to hear about demise of qamarul islam ji rip it is a great loss for karnataka as well as congress party,Karnataka,0.4951,0.15,BJP,authentic
#BJP,debroys job application was submitted the day he abused mms postdemonetisation in his eagerness to please modi,Bihar,0.1779,0,BJP,authentic
#Congress,salman nizami is close to rahul rahul rahul gandhi and congress spokesperson will rahul rahul rahul gandhi take action against him,Delhi,0,0.1,Congress,authentic
#Ø³Ù„Ø§Ù…_ÛŒØ§Ø­Ø³ÛŒÙ†,mohandas rahul gandhi recald spirit of sacrifice in thse wrds if i had soldiers of hussein i would hv freed india in hours,Madhya Pradesh,0.5267,0,Congress,authentic
#Congress,first they ignore you then they laugh at you then they fight you and then you win rahul gandhi jihis words impart strength we need now,Tamil Nadu,0.7579,0.45,Congress,authentic
,babarahul whoever fights amethi in whoever wins d election u hv stooped so low dat evn soga shud b ashamed of a son like you,Gujarat,-0.3272,0.15,Congress,authentic
#Mersal,show your support rt mersal thalapathylike modi bjp supportmersal mersalvsmodijosephvijay blockbustermersal,Kerala,0.4019,0,BJP,authentic
#Congress,never forget this hour what they did to sikhs in as a childwitness the darkest chapter in history orchestrated by congress leaders,Delhi,-0.3682,0,Congress,authentic
,what is difference between chowkidar and chaparasi while former doesnt care of happenings of inside an organisation latter one helps the organisation to succeed,Tamil Nadu,0.4891,0,BJP,authentic
#BJP,here is atal bihari vajpayees appeal politicising terror and asking votes for bjp in the name of terrorism which were published for delhi elections even as the mumbai attack of was onbjp released blood stained adsmodi has no moral right to accuse anybodybut his party,Uttar Pradesh,-0.9081,0.1429,BJP,authentic
#NetNeutrality,netneutrality is not dead yet congress can stop the fcc vote but only if we make them nationwide protests on dec via,Tamil Nadu,-0.185,0.05,Congress,manipulated
#StopTheFCC,nationwide protests happening in cities today demanding congress stopthefcc from killing netneutrality find one near you via,Tamil Nadu,-0.802,0.1,Congress,authentic
#Congress,request all gujarti brothers and sisters to vote for congress gujarat needs a govt for farmerssmall traders small entrepreneurslabor class segment it should not be a govt for industrialists gujarat needs better health and education system votecongress gujaratround,Karnataka,0.4404,0.125,Congress,authentic
#NetNeutrality,this is an internet emergency less than hours left until the vote to kill netneutrality breaktheinternet to demand that congress stopthefcc take action via,Tamil Nadu,-0.8316,-0.0222,Congress,manipulated
#BJP,my projections for gujaratscenario possiblebjp votes seatscongress votes seatsscenario likelybjp votes seatscongress votes seatsscenario cannot be ruled outeven bigger defeat for the bjp,Delhi,-0.4588,0,BJP,manipulated
#Congress,i am a muslim and i have no problem if rahul rahul gandhi does not visit dargah i will still support rg as long as he respects my religion amp assures my fundamental rights as a citizen of this country no he does not have to visit durgahs amp churches just to prove his secular credentials,Maharashtra,0.0516,-0.05,Congress,manipulated
,rssbjp areanti muslimanti christiananti sikhanti dalitanti womenanti intellectualsanti artistsanti liberalanti secularso who remainsmisogynistic low iq humourless narrow minded bigoted hindu menperfect description of a swayamsevak,Maharashtra,-0.2732,-0.1,BJP,manipulated
#GST,gstwe had been hearing about gst since years but it was not possible to bring every state business lok sabha amp rajya sabha agree on it jaitley amp modi made it possible businesses were down temporarily but now everyone is reaping benefits of country taxwhymodiin,Delhi,0.7684,-0.0519,BJP,manipulated
#SurgicalStrike,surgicalstrikeeach time our nasty neighbor hit us cut off the heads of our soldiers our army was told to not retaliate it was under the modi leadership that got a free hand to strike enemy in their territory amp q even thatwhymodiin,Delhi,-0.4939,-0.3,BJP,manipulated
#ModiForeignTrips,modiforeigntripsmost efficient travel spending least time covering maximum amp getting worth of every rupee amp second spent this is what modi does manmohan singh ji could only visit countries in days against modi covering in dayswhymodiin,Delhi,0.5719,-0.02,BJP,manipulated
#Naxals,naxalspost demonetisation naxals who majorly ran their empire on black money or fake currency came to their knees they only had options die in poverty or surrender there is a never before rise in naxals giving up arms who else could do this except modiwhymodiin,Delhi,-0.836,-0.151,BJP,manipulated
#BJP,this is the answer to congress has added sq km area to the independent india in years reduced pakistan by how much did bjp contribute in years,Karnataka,0,0.1,Other,authentic
#Congress,money distributed at congress president rahul gandhis rally in koppal karnatakayesterday gave speech to empty chairs thats why today bought the audience,Haryana,-0.2023,-0.1,Congress,manipulated
#BJP,pm modi addresses world government summit in dubai via nmapp,Rajasthan,0,0,BJP,authentic
#BJP,during india pakistan war pm lal bahadur shastri requested rss to manage traffic in delhi so police personnel can be relieved for defence duties the first public organisation to reach calamity struck areas is rss such deplorable state of politics that people are qing rss,Delhi,-0.4215,-0.0875,BJP,manipulated
,funniest was hindu priests were flown in from haridwarfor rss govt eventnamami is sanskrit wordthey could not even think of an aasamese wordfunfact guwahati is known as city of temples kamakhya is of holiest shaktipeethsthey could not get local priestsrssinsultedassam,Punjab,0.5574,0,BJP,authentic
#Congress,internet is a funny place one day youre a pimple waali normal girlnext day youre internet storm priya one day youre a regular kashmiri type chaiwalanext day youre getting modeling assignment one day u r watching pogonext day youre chairman of indian national congress,Delhi,0.4404,0.1333,Congress,authentic
#BJP,ji really i am very frustrating from the bank to this behave plz help to growing my busniess my current address is where you are coming today to do the grand bhoomi poojan of international airport from your lucky hands narendra modi,Maharashtra,0.7222,0.0627,BJP,authentic
,sir years ago in raichur karnataka a temple transformed into a mosque this was revealed in proves even years ago islamic culture was gloriously thriving in india,Karnataka,0.5994,0.3,Other,authentic
#BJP,ek hi dil hai kitni baar jeeto gai ji pm modi halted pauses his speech as soon as the sound of azaan was heard during his speech at bjp headquarters and did not speak a word till azaan was finishedrespecttowardsrelegionislam modisweepsnortheast,Jammu & Kashmir,0,0.4,BJP,authentic
#BJP,how many times it has to be proved that congress alone is incapable of defeating bjp there are some so called muslim intellectual and moulvis who are organizing programmes promoting congress muslims cannot blindly support congress new alternatives like sdpi should be promoted,Karnataka,0.4415,0.1091,Congress,authentic
#BJP,ajoy ghosh a colleague of bhagat singh later became the general secretary of the communist party of india who do you choose bhagat singh or rss bjp,Punjab,0.4019,0.025,BJP,authentic
#BJP,this is accountability modi too shy to admit defrauded me and betrayed svatantra senani shoebullah khan to islamists and the greed of their crony,Andhra Pradesh,-0.7845,-0.5,BJP,manipulated
#PMModi,pmmodi had not bjp govt come to power in believe me india would have been the biggest venezuela in another years by bringing the modi govt to power we have not only helped ourselves but also next generation sad most people asking question where are acche din,Maharashtra,-0.631,0,BJP,manipulated
#BJP,middlemen loot govt subsidies modi govt removed middlemen with aadhar based dbt poor have no homes modi govt is building lakhs of homes under pradhan mantri awasyojanawhymodiintransformingindianewindia,Gujarat,-0.6486,-0.4,BJP,manipulated
#BJP,love you shree jiwe r blessed to have u as the pm of india jai hind,Maharashtra,0.8442,0.5,Other,authentic
#Nehru,climbing down the stage nehru was cordoned by congress menwhen people rushed towards him to touch his feet in devotion he pushed away the volunteers amp started slapping amp kicking with both hands amp both his feethe was wearing full boots those who came near him,Maharashtra,0.4588,0.0981,Congress,authentic
#BJP,thread nda years developed more skillsinstitutes over congress indian institute of technology iitsbefore years atal bihari vajpayee years upa upa years modi government years modimyindia modifor,Gujarat,0,0.3,BJP,authentic
,the more i look at the problem inthe more i realise this partition buissness is madness amp is going to reduce economic efficiency ofimmeasurablyboth sides nehru gandhi jinha are deliberately avoiding settlementmountbatten to,Maharashtra,-0.6705,0.4,Congress,authentic
#BJP,worst strategic mistake congressis did was starting suitboot campaign within months of modi taking office and it was widely hailed by ecosystem as piggy vadras brainchild,Maharashtra,-0.6808,-0.3667,BJP,manipulated
#BJP,thank you people of karnataka for extending your trust in pm s visionary pure amp transparent amp prodevelopment governance in indiaalso congratulations to president shri shri amp every karyakarta of karnatakaverdict,Gujarat,0.9201,0.2143,Other,authentic
#Mamata_Banerjee,see how this mamatabanerjee goon is threatening people for fixing bjp flags in maheshtala parganas wbbut mamatabanerjee always comes forward to lecture about democracyis this what she is trying to tell the nationmamatakilldemocracy,Karnataka,-0.5267,0,BJP,authentic
#BJP,what has modi done for hindus he is empowering rural india so that they will not convert for a bag of rice that is his biggest service to first avoid further damage n deterioration of hindu population he has cancelled licenses of ngo involved in conversion activitiesn,Karnataka,-0.7506,0.0833,BJP,authentic
#Sikhs,your father amp showed a lot of love in sikhs died because of the love showered on them shamelessnakligandhi,Karnataka,0.7003,0.5,Congress,authentic
#BJP,why narendra modi is not a choice but a necessitytowards the runup to ls elections i am planning to record all facts as an answer to the question i have posted above feel free to contribute to this thread,Tamil Nadu,0.6652,0.2,BJP,authentic
#RaGa,the hope raga rahulgandhi inc congress nsui iyc,Delhi,0.4404,0,Congress,authentic
,call me a bigot communal fanatic or whatever but singular reason for bjps defeat in jayanagar is the complete consolidation of muslim vote look at the below numbers from gurappanapalya a muslim localitybjp must really become a hindu party amp not just be perceived as one,Karnataka,-0.0141,0,BJP,manipulated
,thread on sad poem how indian secularism is about muslims only even in crimes like rape where hindu girl victims face ignominy and ignored by media and liberals please click the link amp rt all tweets in it,Gujarat,-0.8225,-0.25,Other,manipulated
,o really you have rightly caughtit might be a conspiracy by do not you feel it is a communal card played by rss against minoritythis is all going on for electionbetter make a feature for right subject for trp surge,Delhi,-0.25,0.1512,BJP,authentic
#Congress,in his first confessional statement made to his father and congress mp sunil dutt who wanted to know why he had been stashing deadly arms sanjay dutt said because i have muslim blood in my veins i could not bear what was happening in the city,Karnataka,0,0.025,Congress,manipulated
,i am certainly not canvassing it but the way these antimodi jokers presstitutes bollywood sickulars libtards ngos etc have unabashedlyopenly become antinationals it seems inevitable that many many nationalists will take law into their own hands,Karnataka,0.1779,0.2986,BJP,authentic
#Congress,yes is right british were so scared of m k rahul gandhi that they gave freedom to india in jordan in israel burma amp srilanka in and libya in later nehru kept scaring them and they kept freeing country after country sudan in ghana amp malayasia in,Maharashtra,0.5202,0.0952,Congress,authentic
#BJP,it is ironical that prime minister modi called congress as bjps former president mr atal bihari vajpayee once arrived at the parliament in a to protest against the introduction of computers by prime minister rajiv gandhi,Gujarat,-0.25,0,BJP,authentic
#Congress,rahul gandhi is not indian hopeit only joke,Uttar Pradesh,0.296,0,Congress,manipulated
#BJP,is a proud practicing hindu from a strong rss family but she does not want to raise her son in the kind of india bjp imagines she shared with me why she supports congress what about emergency and dynasty aipcfellowsfeature,Delhi,0.7019,0.6111,BJP,authentic
#Congress,the party that has a problem with italianorigin sonia rahul rahul gandhi being in indian politics has no problem with us citizen priti rahul rahul gandhi being in politics so much patriotism so why did you give up your indian passport,Delhi,-0.5994,0.2,Congress,authentic
,i did my ls sheet nda will not get more than seats cong sweeping mp rajasthan chattisgarh as most tv polls say,Maharashtra,0,0.5,Congress,authentic
#Congress,today ampme were present at barasat zilla parishad bhavan at yuvo congress meetingmany senior congress leader share their experience that how yuvo congress can build better congress tomorrowwe are expecting a change under leadership of,Bihar,0.6249,0.25,Congress,authentic
#BJP,writers and activists in jail instead of lynch mobs now bjp govt continues its efforts to make the congress years look better bravo shame achhedin bharatbananahai,Maharashtra,-0.0516,0.2,Other,authentic
,modis strategy to make people fool,Delhi,-0.4404,0,BJP,authentic
#SaafNiyatSahiVikas,i shared my feedback on peoples pulse with pm modi you can do it now on the namo app saafniyatsahivikas,Assam,0.34,0,BJP,authentic
#BJP,a must read piece by on the ecosystem of fear being perpetrated by modi sarkara,Karnataka,-0.4939,0,BJP,authentic
#Nehru,nehru family exercises dictatorial control over documents pertaining to this perioddocuments in national archives too arent available to scholars without permission from gandhi familyare available in the british museumlibrarysourcenotes of drnsrajaram,Maharashtra,0,0.2667,Congress,authentic
#BJP,from the archivessharing an article about bharat ratna by honouring malaviya bjp is correcting a historical wrong published on in dailyo,Delhi,0,-0.25,BJP,manipulated
,the present government is expert in looting common mans pocket looted during demonetisation and gst and now by price hike in petrol diesel gas cylinder etc is accepting dat this govt failed india stands with india bharatbandhmehangipadimodisarkar,Jammu & Kashmir,-0.1779,-0.2667,BJP,manipulated
,so will you do what the uk did destroy the data and legislate it as illegal why do not you set up a committee to draft a legislation and inquire into the fraud,Maharashtra,-0.8979,-0.35,Other,manipulated
#BJP,best wishes to most dynamic and dedicated person honourable pm shri on his birthdaya man with vision for new indiaa distinguished oratorwhose optimism boosts moralea man who makes us feel thatthere is hope for new india,Jammu & Kashmir,0.9743,0.3545,Other,authentic
,from the archivessharing an article about india will be the big gainer in the modinri romance published on in dailyo,Delhi,0.5574,0,BJP,manipulated
#BJP,bjp loves pakistan and it is laws,Maharashtra,0.5719,0,BJP,authentic
#Congress,masterstrokenow bsp and ajit jogis party will cut the votes of congress which will ultimately benefit bjpremember only a slightest gap of is enough to change the equations and election results in chhattisgarh,Uttar Pradesh,0.5574,0,BJP,manipulated
#CHOKIDAR_HI_CHOR_HAI,chokidarhichorhai this means the mess in the bjp has increased a lot and it is your duty to be a true citizen that you clean the countrys filth by following swachh bharat abhiyan so let us take a look that in the elections will clean the dirt like bjp from the country,Bihar,0.7845,0.1817,BJP,authentic
#CorruptModi,all the scams and corruption of modi and his govt right here corruptmodi,Delhi,-0.5859,0.2857,BJP,authentic
#JoblessIndia,nda paper leak upsssc paper leak railway group d paper leak all such leaks only contributing in joblessindia while soldmedia busy promoting mandir wahi banega shame on such journalism,Andhra Pradesh,-0.7783,0.025,Other,manipulated
#MahatmaGandhi,remembering mahatmagandhi and his great path for happy and prosperous world on gandhijayanti let us follow his shown path of truthamp nonviolence one man made a differencegot us independence and made us proud,Karnataka,0.9325,0.8,Congress,authentic
#Congress,why do not we complete what we were discussingwas rss chief being a sycophant to indira rahul gandhi during emergencywhy did savarkar and balasaheb deoras go down on their knees when in jailare facts indeed facts,Delhi,0,-0.0278,Congress,manipulated
,cong game over in chhattisgarh big leader of party and party cpcc working president mla j ramdayal uike joins bjpinfluential in tribal belt,Delhi,0.6597,-0.2,BJP,manipulated
#MeToo,question why rahul gandhi not using stick to walkmetoo he look young and can walk without support if he unable to walk and need support he can take help from men and look closely face of these two girls not happy but no ask any questions why,Delhi,-0.0194,-0.2667,Congress,manipulated
,thank you sir goamining goa,Goa,0.3612,0,Other,authentic
#HindusVsCommunists,hindusvscommunistshinducharterhindushindu sabarimalasavesabarimalakerala cpim lalsalaam redterrorhanumanbeniwaluttarpradeshpappu exodus of hindu families from kairana a reality finds nhrc probe report meerut news times of india,Chhattisgarh,0,0,Congress,authentic
#BJP,pm to begin his campaign in madhya pradesh post diwali bjp feels cong has peaked early with rgs road shows much like gujarat while bjps main weapon is still to come my story,Chandigarh,0.0772,0.1556,BJP,authentic
#RahulFlopsAgain,sc orders cvc inquiry into cbi director alok verma to be completed in two weeks rahulflopsagain as triumph card of congress who failed miserably in kota days ago cbidirector rahulflopsagain,Chhattisgarh,-0.5106,-0.75,Congress,manipulated
#BJP,modis new cbi chief nageswara rao had accused islamists christians and marxists as the main threat to human rights in a speech at an event on december no wonder modi chose a tainted nageswara rao as new cbi chief,Delhi,-0.7783,0.1098,BJP,authentic
,in campaign of shri anand nyamgouda for the election of jamkhandi constituencyalong with our great leader ji ji jai ho voteforanand,Karnataka,0.6249,0.8,Other,authentic
#Congress,nevada became a state while under martial law lincoln declared it in congress extends it every yearno one is paying attentiontry listening for a changetin man is tooting a ten horn,Maharashtra,0.128,0,Congress,authentic
#BJP,rti confirms raghuram rajan sent modi list of npa defaulters action taken a mystery,Delhi,0,0.1,BJP,authentic
#IronLady,remembering the iron lady of india smt indiraji rahul gandhi on her death anniversary ironlady indirarahul gandhi,Karnataka,-0.5994,0,Congress,authentic
#BJP,modi is destroying the cbi m nageshwar rao whom modi has brought in to head cbi now is also a scam accused he is even accused of making money out of buying uniforms of the firemen in odisha savenation savedemocracy,Maharashtra,-0.8934,-0.2,BJP,authentic
#BJP,thread a guy wrote a thread about how modi behaves arrogantly in public places but he received so many hate messages he had to delete his account so i am making a thread again how modi respects senior citizens n,Maharashtra,-0.6616,-0.1,BJP,manipulated
#CongressFearsRSS,congressfearsrss that is why traitor savarkar wrote mercy petitions to british a terrified rss supremo deoras wrote multiple letters to indira rahul gandhi during emergency lauding gains of emergency,Maharashtra,-0.34,0,Congress,authentic
#BJP,i will not hire modi even as my chowkidarretweet if you agree,Maharashtra,0.3612,0,BJP,authentic
#BJP,my ailing daughter suffered a lot suffered a lot suffered a lot suffered a lot politics ghus gayi meri beti ke illaj me kahan hei aap where r u modiji giving u message fr two yrs plz read my letter email and tweet once,Orissa,-0.8779,0,BJP,authentic
#Modi,rather worry about modi after years of rule modi cannot list out his achievements still doing whataboutery by peddling lies about nehru and gandhis rafalescam antinationalmodi,Maharashtra,-0.6908,0,BJP,authentic
#BJP,sir i am honoured you blessed me by following me you made my day always with bjp and with youthanks and regardskumar rajeev,Assam,0.7964,0,Other,manipulated
#Congress,one more such fake allegations by the ecosystem of congress and left either the accused were proven not guilty in such cases or the cases were not even taken to court as there is no credibility n,Tamil Nadu,-0.6648,0.0417,Congress,manipulated
#BJP,what can be more antinational than this modi has been projected as a lion by media bhakts and his army on sm in reality he is the most powerful timid person one can actually see live everyday in indiaantinationalmodi,Haryana,0.2058,0.2061,BJP,authentic
,help plzmenscommission,Maharashtra,0.4019,0,Other,authentic
#Congress,never forgive never forget varun rahul gandhi is as venomous as any other sanghi terrorist itna zehar se kaha se leke aata hai,Maharashtra,-0.791,-0.125,Other,manipulated
#Congress,in after indira gandhis assassination there was a landslide win of seats for congress led by rajiv gandhi it polled votes majority did not vote for it statistics should be used as a lamp post to illuminate not for support when drunk,Tamil Nadu,-0.5801,0.15,Congress,authentic
#Congress,dear nota warriors here is sadhvi pragya who is now on wheelchair coz congress broke her bones to manufacture a lie of saffron terrorism how can you forget all these sins go amp avenge the insult of sadhvi ji votebjpsecuremp,Maharashtra,-0.9186,0,BJP,authentic
#BJP,when modi was still a student india had already exploded its first nuclear bomb when modi was still a student india had split pakistan into two when modi was unknown india had already computerised the railway reservation system across the nation,Haryana,-0.4939,0.075,BJP,authentic
#BJP,threadwhat has india done in the past years some observations collective thoughts when modi was not even born india had already won a war with pakistan when modi had not even learnt to speak india had already written one of the finest constitutions of the world,Haryana,-0.0516,-0.25,BJP,manipulated
#BJP,of bjp supporters are driven by hate towards muslims i do not think one can convince them about modis failures as pm on the basis of his poor governance economic fall and joblessness they will keep on voting for modi as long as he maintains his core antimuslim image,Delhi,-0.7096,-0.2625,BJP,manipulated
#BJP,is pm awas yojana gramin a silent factor for bjp in mp record lakh houses built close to lakh voters benefitted my story,Chandigarh,0.4019,0,BJP,manipulated
,there have been many good prime ministers in the past but never has a prime minister touched so many livesheres to prime minister narendra modithe disrupter the rebel the revival manwatch the revival man,Delhi,0.0129,0.3625,BJP,authentic
#KaduvettiGuru,srcskaduvettiguru a firebrand leader enjoyed massive popularity among vanniyar youths and his death weakened pmk,Maharashtra,0.0516,0.25,Other,authentic
#à¤†à¤ªà¤£à¥€_à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸,live congress president rahul rahul gandhi addresses a public gathering in alwar rajasthan,Rajasthan,0,0.0682,Congress,authentic
#TipuSultan,the way a conspiracy theory was ideated on tipusultan when karnataka had gone on pollsa similiar one is brewing in telangana on nizamofhyderabad ahead of telanganaelections both were patriots who were painted as antinationals by bjpincorrigible liars,West Bengal,-0.7783,0,BJP,authentic
#AgustaWestland,pic former iaf chief amp one of main accused of agustawestland scam sp tyagi blames manmohan singh for the scampic aljo k joseph national incharge legal department indian youth congresspic christianmichel lawyer with leaderstoo many links,Maharashtra,-0.7964,0.2167,Congress,authentic
#Bjp,zee news and bjp seems to have a collaboration they arrange paid people to shout whatever slogans they want crooked modi demonetisationscam rafalescam antinationalmodi,Maharashtra,0.0772,0,BJP,manipulated
#BJP,dear jiplease find below vidhan sabha wise voter deletions since delhi assembly elections kindly stop spreading falsehood and explain as to why bjp has engineered large scale deletions of baniyas purvanchalis and muslims from the electoral lists,Delhi,0.7717,0.5048,BJP,authentic
#BJP,gmpfindelhi delhi requesting modi for restartgoamining to amend mmdrdampract in wintersession and save livelihood of goamining dependents,Goa,0.6124,0,BJP,authentic
#BJP,the only face of telangana bjp bhai congratulations your win is most valuable gift for us,Andhra Pradesh,0.9357,0.4333,BJP,authentic
#BJP,rt if you want rahul rahul gandhi as pm in and want narendra modi defeated it is people power vs money power and today has showed that the people are winning,Karnataka,0.2263,0.5,BJP,authentic
,now the history student will drive he ram hope shaktikanta das will use his shakti for betterment of by removing all kanta from the pathby not becoming das of the shaktikantadas rbigoverner urjitpatelresigns,Karnataka,0.4404,-0.225,BJP,manipulated
#BJP,narendra modi creative disruptor the maker of new india was released by sh at on th december,Delhi,0.4404,0.3182,BJP,authentic
,i participated on a talk show regarding supreme courts judgement on raffle please watch it and oblige,Assam,0.7096,0,Other,authentic
#BJP,bhakt tell me one successful communist nation nothing right no right just shut up left is burried me can i name more succesful democracies than indiabhakt but modi vs who,Maharashtra,0.4299,0.2786,BJP,authentic
#BJP,in press conference at ahmedabad gujarat regarding preparations of bjp mahila adhiveshan scheduled on december at ahmedabad,Chhattisgarh,0,0,Congress,authentic
#SajjanKumar,the verdict of life imprisonment for sajjankumar for antisikh riots reveals the real face of congress and people who misused their power to kill innocent sikh people in sikhriots sajjanconvicted,Chhattisgarh,-0.7184,0.35,Congress,authentic
#BJP,cant even imagine the kind of horror day it would be to see narendra modis twitter bio as former pm of india we should never ever let this happen guys do not let dark and gloomy days upon the nation modipm,Delhi,-0.6801,0.15,BJP,authentic
#BJP,these political assassins are looking through every move of nda government then devise strategies to dirty the reputation of modi sarkar if you believe that rahul rahul gandhi is called rahul gandhi for a reason it is deliberate to a fault,Gujarat,-0.6808,-0.3,Congress,manipulated
#BJP,what is surprising is strategists have not been able to read through this shoot amp scoot guerrilla attacks by congress strategists bjp media strategists have stumbled in defending party amp prime minister from this fusillade of negative news,Gujarat,-0.6757,0.3,BJP,authentic
